,T_P proba
boydwoo_str_m7_Zn_o8_o17_bcu_sym_119,0.0
boydwoo_str_m7_Zn_o25_o26_bcu_sym_150,0.0
YAMXOC_FSR,0.07845865691849292
XISCUY_FSR,0.0
XIZPIF_FSR,0.0
boydwoo_str_m3_o2_o24_pcu_sym_165,0.0
boydwoo_str_m7_Zn_o17_o26_bcu_sym_65,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No242,0.0
gmof_AlO6-irmof20_A_No2,0.0
tobacco_srsb_sym_3_mc_0_sym_3_on_4__,0.0
LATQUV_FSR,0.0
COYKEH_FSR,0.0
boydwoo_str_m7_Zn_o8_o23_bcu_sym_126,0.0
core_ZURQOS_freeONLY,0.0
boydwoo_str_m7_Zn_o8_o17_bcu_sym_228,0.0
OZOPEA_FSR,0.0
MEFSEY_FSR,0.00527882692214226
boydwoo_str_m7_Zn_o8_o23_bcu_sym_69,0.0
boydwoo_str_m7_Zn_o17_o26_bcu_sym_92,0.0
core_ZILBAZ_freeONLY,0.1610230803227187
MIWJOT_FSR,0.0
AHEMOQ_FSR,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No310,0.0
HEBJAB_FSR,0.0
LOSGOR01_FSR,0.0
gmof_Uio66Zr-irmof20_A-imdb_No3,0.0
boydwoo_str_m7_Zn_o4_o13_bcu_sym_117,0.0
ETESIG_FSR,0.0
boydwoo_str_m7_Zn_o6_o25_bcu_sym_124,0.0
QUHPUF_FSR,0.0
boydwoo_str_m7_Zn_o20_o25_bcu_sym_51,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No175,0.0
boydwoo_str_m7_Zn_o17_o26_bcu_sym_117,0.0
WAYWAW_FSR,0.0
boydwoo_str_m7_Zn_o10_o22_bcu_sym_134,0.0
boydwoo_str_m7_Zn_o17_o26_bcu_sym_182,0.0
gmof_AlO6-irmof7_A_No1,0.0
boydwoo_str_m7_Zn_o19_o21_bcu_sym_167,0.0
tobacco_bor_sym_3_mc_0_sym_4_on_8_L_2,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No278,0.0
boydwoo_str_m7_Zn_o4_o4_bcu_sym_62,0.0
IBOZIK_FSR,0.0
EGUPED_FSR,0.0
LELMIZ_FSR,0.0
WADFAL_FSR,0.0
HADMOR_FSR,0.0
KIPZEQ_FSR,0.0
gmof_Zn4O13-irmof20_A-TED_A_No4,0.0
boydwoo_str_m7_Zn_o2_o13_bcu_sym_197,0.0
tobacco_bor_sym_3_mc_0_sym_4_on_14_L_20,0.0
ZUJGIX_FSR,0.1977428017662581
LISDAT_FSR,0.0
XANBOE_FSR,0.0
JOMVIQ_FSR,0.0
gmof_Al2O6-BDC_B-irmof7_B_No19,0.0
gmof_Al2O6-ADC_B-irmof20_B_No5,0.0
gmof_Al2O6-AZO_B-irmof20_B_No10,0.0
boydwoo_str_m3_o14_o25_pcu_sym_89,0.0
RAZBUR_FSR,0.1252171236839532
AYOXUJ_FSR,0.0
boydwoo_str_m3_o4_o7_pcu_sym_212,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No49,0.0
YIFKAC_FSR,0.0
CUYQIX_FSR,0.0
VIWHUG_FSR,0.0
CAZLEV_FSR,0.0
boydwoo_str_m7_Zn_o8_o23_bcu_sym_68,0.0
DEKYUP_FSR,0.0
gmof_Zn2O8-irmof20_A-pcn6_B_No7,0.0
gmof_Al2O6-BDC_B-irmof7_B_No138,0.0
core_VEBHUG_SL,0.0
GIYHON_FSR,0.0
boydwoo_str_m7_o1_o10_bcu_sym_181,0.18781016565708783
RANPAA_FSR,0.0
PIJGEV_FSR,0.0
tobacco_srsb_sym_3_mc_0_sym_3_on_2_L_3,0.0
boydwoo_str_m7_Zn_o20_o25_bcu_sym_48,0.0
UKUBUY_FSR,0.0
ROGSIQ_FSR,0.1926832963464601
FIPFIU03_FSR,0.0
LOXWAY_FSR,0.0
boydwoo_str_m7_Zn_o1_o22_bcu_sym_133,0.0
boydwoo_str_m3_o4_o6_pcu_sym_46,0.0
gmof_Uio66Zr-irmof20_A-imd_No1,0.0
core_QIPROY_freeONLY,0.0
NIXSOE_FSR,0.0
MAZTOX_FSR,0.0
AHXCUD10_FSR,0.0
PEJVOR_FSR,0.0
QUPZIM02_FSR,0.04689836367797324
QIPPUD_FSR,0.0
boydwoo_str_m4_Al_o2_o25_acs_sym_52,0.0
QUJFUX_FSR,0.0
boydwoo_str_m7_Zn_o4_o13_bcu_sym_172,0.0
gmof_AlO6-irmof20_A_No6,0.0
KOQJEH_FSR,0.0
WIYXUZ_FSR,0.0
tobacco_srsb_sym_3_mc_0_sym_3_mc_0_L_3,0.0
tobacco_SR_scu_v1-8c_Hf_1_Ch_v2-4c_B_Ch_1B_4CN_Ch_2x2x2,0.0
UJOBUS_FSR,0.0
XANBUL_FSR,0.0
JIVFUQ_FSR,0.0
FELRAR_FSR,0.0
boydwoo_str_m7_Zn_o20_o23_bcu_sym_203,0.0
SIZNUM_FSR,0.0
gmof_Al2O6-AZO_B-irmof20_B_No65,0.0
FONYOY_FSR,0.0
boydwoo_str_m5_Al_o13_o25_sra_sym_42,0.0
DACXOV_FSR,0.0
core_PENNUT_freeONLY,0.0
boydwoo_str_m7_Zn_o8_o25_bcu_sym_81,0.0
